Jon	Galloway	7 Jolliffe St	 	Middlewich	Cheshire	CW10 9GB	01947 566661	Jon.Galloway@academic.ac.uk	10002130	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Jennifer	Goddard	1175 Greig St	 	St. Marys Ward	Greater Manchester	M25 0ZN	01532 497454	Jennifer.Goddard@academic.ac.uk	10002370	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Ian	Good	636 Portland Place	 	Gresham Ward	Middlesbrough	TS1 4RG	01743 977277	Ian.Good@academic.ac.uk	10007928	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Andrew	Goodwin	41 Benedict St	 	Aldborough Ward	Greater London	IG2 7QG	01599 245408	Andrew.Goodwin@academic.ac.uk	10002412	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Jodie	Gratton	62 Margaret St	 	Royal Hospital Ward	Greater London	SW3 4ND	01345 400452	Jodie.Gratton@academic.ac.uk	10002638	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Diane	Grayson	5152 Sophia St	 	Woodstock Ward	South Gloucestershire	BS15 8DS	01655 519837	Diane.Grayson@academic.ac.uk	10007938	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Jenny	Green	1 Back Canning St	 	Dunblane and Bridge of Allan W	Stirling	FK9 4LD	01837 530939	Jenny.Green@academic.ac.uk	10002929	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Nicola	Green	9 Gradwell St	 	Kempshott Ward	Hampshire	RG22 5HA	01262 808399	Nicola.Green@academic.ac.uk	11000732	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Nick	Grey	9205 Upper Hill St	 	City and Hunslet Ward	West Yorkshire	LS1 5QE	01350 332706	Nick.Grey@academic.ac.uk	11009254	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Kate	Groves	9 Horatio St	 	Ruckinge	Kent	TN26 2PN	01686 306597	Kate.Groves@academic.ac.uk	11005738	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Mark	Hamilton	61 Miriam St	 	Abbey Road Ward	Greater London	NW8 9BD	01537 356648	Mark.Hamilton@academic.ac.uk	10004552	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Rosemary	Hancock	67 Pulford St	 	Prittlewell Ward	Essex	SS2 6NL	01388 416867	Rosemary.Hancock@academic.ac.uk	10004576	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Kate	Harman	821 Pembroke Place	 	Kirkby Stephen	Cumbria	CA17 4RZ	01589 654152	Kate.Harman@academic.ac.uk	11003827	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Wendy	Harris	3 Alder St	 	Eaton Park Ward	Stoke-on-Trent	ST2 9AW	01780 704167	Wendy.Harris@academic.ac.uk	11005483	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Steven	Hay	80 Morecambe St	 	Bishop Auckland	County Durham	DL14 6NG	01355 192668	Steven.Hay@academic.ac.uk	11005398	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Phyllis	Heath	7866 Renshaw St #283	 	Falmouth	Cornwall	TR11 4QQ	01823 526645	Phyllis.Heath@academic.ac.uk	10005072	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Stephanie	Hill	658 Lake St	 	Malmesbury	Wiltshire	SN16 0XZ	01777 469402	Stephanie.Hill@academic.ac.uk	10005206	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Jennifer	Hill	5382 Redfern St	 	West End Ward	Greater London	W1J 0QH	01961 642757	Jennifer.Hill@academic.ac.uk	10005575	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Charlotte	Hobbs	45 Bidder St #38	 	Town Ward	Greater London	EN1 3HT	01367 136951	Charlotte.Hobbs@academic.ac.uk	11009090	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Elizabeth	Hodgson	6766 Britton St #379	 	Crompton Ward	Greater Manchester	BL1 3EX	01912 749219	Elizabeth.Hodgson@academic.ac.uk	10005669	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Allison	Holder	7 Lear Rd	 	Stroud	Hampshire	GU32 3PQ	01779 720349	Allison.Holder@academic.ac.uk	10005687	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Steven	Holmes	2577 Toxteth St #5	 	Overton Ward	Lancashire	BB6 7UN	01527 579687	Steven.Holmes@academic.ac.uk	10005810	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Joy	Hopkins	761 Cockerell St #1	 	Midway Ward	Derbyshire	DE11 0HE	01927 790069	Joy.Hopkins@academic.ac.uk	10036413	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Derek	Horner	9 Cypress St	 	Washington East Ward	Tyne and Wear	NE38 9AQ	01753 784273	Derek.Horner@academic.ac.uk	10006378	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Johanna	Hugo	6 Romilly St	 	Walkergate Ward	Tyne and Wear	NE6 4YH	01312 233253	Johanna.Hugo@academic.ac.uk	10006398	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Gary	Hutchinson	51 St Anne St #12	 	Stratfield Mortimer	Berkshire	RG7 3RA	01241 273991	Gary.Hutchinson@academic.ac.uk	10001550	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Christopher	Jarvis	823 Idris St	 	Selston	Nottinghamshire	NG16 5LG	01898 134749	Christopher.Jarvis@academic.ac.uk	11001237	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Penelope	Jones	8764 Nickleby St #877	 	Govan Ward	Glasgow City	G51 1BQ	01478 110943	Penelope.Jones@academic.ac.uk	11000236	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Maria	Kearney	5344 Bengel St #5	 	Millwall Ward	Greater London	E14 5DR	01402 733903	Maria.Kearney@academic.ac.uk	10007063	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Mary	Kelly	8880 Great Howard St #7750	 	Sefton	Merseyside	L29 7WD	01358 446391	Mary.Kelly@academic.ac.uk	10000712	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Kaleem	Khan	9 Oakleigh	 	Lancing	West Sussex	BN15 9BN	01448 211489	Kaleem.Khan@academic.ac.uk	11004378	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Shakiel	Khan	83 Denbigh St Bootle	 	St. Gluvias	Cornwall	TR3 7AZ	01462 474800	Shakiel.Khan@academic.ac.uk	10007315	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Zaibunisa	Khan	30 Aughton St	 	Hilton	Aberdeenshire	AB24 2RR	01240 600327	Zaibunisa.Khan@academic.ac.uk	11002387	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Susan	Kitchen	260 Saxon St	 	Brooklands Ward	Greater Manchester	M33 4BP	01537 525550	Susan.Kitchen@academic.ac.uk	10007459	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Kate	Knowles	3 Pyramid St	 	Eccleston Ward	Merseyside	WA10 3BW	01546 942059	Kate.Knowles@academic.ac.uk	10007709	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Gary	Lever	37 Langham St #948	 	St. Georges Hill Ward	Surrey	KT13 0AZ	01704 508066	Gary.Lever@academic.ac.uk	10000080	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
David	Lewis	94 Villars St	 	Launcells	Cornwall	EX23 9LG	01560 328739	David.Lewis@academic.ac.uk	10000536	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Gaye	Lord	73 Hawkstone St	 	Renfrew South & Gallowhill War	Dunbartonshire	G52 4YG	01860 191930	Gaye.Lord@academic.ac.uk	10000612	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Brett	Lovett	123 Sussex St	 	Astley Bridge Ward	Greater Manchester	BL1 6PY	01457 837447	Brett.Lovett@academic.ac.uk	10000721	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
John	Lynch	484 Barry St	 	Shiney Row Ward	County Durham	DH4 7RG	01931 620849	John.Lynch@academic.ac.uk	10000754	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Peter	Malone	7033 Micawber St	 	Bintree	Norfolk	NR20 5NQ	01337 695353	Peter.Malone@academic.ac.uk	10000878	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Trevor	Mansfield	33 Vipond St	 	Woodhall Farm Ward	Hertfordshire	HP2 7JP	01413 348876	Trevor.Mansfield@academic.ac.uk	10001165	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Annabel	Marsh	85 Hero St	 	Stanhope	County Durham	DL13 2TZ	01632 887825	Annabel.Marsh@academic.ac.uk	10007817	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Catherine	Marshall	77 Reading St #8	 	North Tawton	Devon	EX20 2TR	01235 173362	Catherine.Marshall@academic.ac.uk	10001446	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Emma	Matthews	274 Altcar Ave	 	Catterick	North Yorkshire	DL10 7NU	01555 550015	Emma.Matthews@academic.ac.uk	10004772	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Joyce	Mayers	38 Avondale Rd #79	 	Kilmersdon	Somerset	BA3 5SJ	01756 678490	Joyce.Mayers@academic.ac.uk	11003648	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Joyce	McCormick	4679 Curzon St	 	Central Ward	Lancashire	BB5 0SJ	01354 864473	Joyce.McCormick@academic.ac.uk	11002847	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
James	McDonald	13 Nelson Rd	 	Filwood Ward	Bristol	BS4 1HT	01676 780022	James.McDonald@academic.ac.uk	10001919	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Jenny	McDowell	2546 Hunter St	 	Central Buchan Ward	Aberdeenshire	AB53 6YD	01712 978062	Jenny.McDowell@academic.ac.uk	10007924	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Conor	McGinn	77 Mason St #650	 	Smallbridge and Firgrove Ward	Greater Manchester	OL16 3AW	01224 605237	Conor.McGinn@academic.ac.uk	11000813	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Paul	McGuire	94 Wakefield St	 	Lavenham	Suffolk	CO10 9PU	01378 234592	Paul.McGuire@academic.ac.uk	10002130	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Gail	McIntyre	529 Stalmine Rd #3680	 	Saffron Walden	Essex	CB11 4DJ	01807 346103	Gail.McIntyre@academic.ac.uk	10002370	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Emma	McKendrick	52 Morningside Rd #1	 	Cilybebyll Community	Neath Port Talbot	SA8 3HE	01295 678319	Emma.McKendrick@academic.ac.uk	10007928	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Rodger	McMillan	94 Enid St	 	Birchington	Kent	CT7 9BG	01333 642646	Rodger.McMillan@academic.ac.uk	10002412	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Laura	Meier	661 Great Crosshall St	 	Forth Ward	City of Edinburgh	EH5 2LR	01936 611490	Laura.Meier@academic.ac.uk	10002638	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Andrew	Melling	227 Albert Terrace	 	Belvedere Ward	Greater London	DA17 6EF	01536 639256	Andrew.Melling@academic.ac.uk	10007938	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Phillip	Miller	464 Back Nile St #618	 	Acton Central Ward	Greater London	W3 6QJ	01728 100333	Phillip.Miller@academic.ac.uk	10002929	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
John	Millington	42 Eastwood St	 	Walton Ward	Cambridgeshire	PE4 6HB	01996 854517	John.Millington@academic.ac.uk	11000732	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Nicholas	Mills	2877 Grain St	 	Caversham Ward	Berkshire	RG4 5DE	01773 139510	Nicholas.Mills@academic.ac.uk	11009254	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Samantha	Milne	13 Stockdale St #779	 	Abingdon on Thames	Oxfordshire	OX14 5QH	01763 475078	Samantha.Milne@academic.ac.uk	11005738	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Ishtiaq	Mohammad	9 Cropper St	 	Northgate Ward	West Sussex	RH10 1YJ	01582 839217	Ishtiaq.Mohammad@academic.ac.uk	10004552	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Lucy	Morris	3 Gaskell St	 	Tynemouth Ward	Tyne and Wear	NE30 2NB	01210 926114	Lucy.Morris@academic.ac.uk	10004576	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Jeremy	Moss	5221 Royston St	 	Eccleshall	Staffordshire	ST21 6GA	01912 146880	Jeremy.Moss@academic.ac.uk	11003827	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
David	Moulton	83 St Johns Lane #43	 	Linlithgow Ward	West Lothian	EH49 7LS	01515 360513	David.Moulton@academic.ac.uk	11005483	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Anthony	Murphy	603 Pall Mall	 	Layton Ward	Lancashire	FY3 8ND	01694 424205	Anthony.Murphy@academic.ac.uk	11005398	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Carole	Murphy	76 Dawber St #6	 	Blackheath Westcombe Ward	Greater London	SE3 7JY	01939 738818	Carole.Murphy@academic.ac.uk	10005072	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Roger	Newman	3380 Alexander St	 	Moulsham and Central Ward	Essex	CM1 9QQ	01710 435506	Roger.Newman@academic.ac.uk	10005206	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
John	Nicol	216 Lissant St #8	 	Great Dunmow	Essex	CM6 1DQ	01712 248851	John.Nicol@academic.ac.uk	10005575	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Sharon	Nolan	92 Phythian St #614	 	Gweek	Cornwall	TR11 5RR	01245 353227	Sharon.Nolan@academic.ac.uk	11009090	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Michael	O'Sullivan	792 Queens Rd	 	Stretford Ward	Greater Manchester	M32 8LR	01526 145485	Michael.O'Sullivan@academic.ac.uk	10005669	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Rita	Okoye	5196 York St	 	Orsett Ward	Essex	SS17 8NS	01416 913482	Rita.Okoye@academic.ac.uk	10005687	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Thomas	Orford	428 Kearsley St	 	Hatton	Warwickshire	CV35 7UA	01819 701096	Thomas.Orford@academic.ac.uk	10005810	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Helen	Orr	8 Chestnut St	 	Barrowford	Lancashire	BB9 6EW	01918 999052	Helen.Orr@academic.ac.uk	10036413	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Mark	Owen	998 Roe St #6	 	Bellingham	Northumberland	NE48 2BX	01954 363885	Mark.Owen@academic.ac.uk	10006378	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Ian	Panter	3 Copenhagen Rd	 	George St	Aberdeenshire	AB25 3UZ	01857 518738	Ian.Panter@academic.ac.uk	10006398	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Alison	Parker	293 Vivian St	 	South Jesmond Ward	Tyne and Wear	NE2 1EY	01555 702650	Alison.Parker@academic.ac.uk	10001550	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Linda	Parrack	8 Barlow St #6	 	Barlow	Derbyshire	S18 7TH	01731 825958	Linda.Parrack@academic.ac.uk	11001237	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Poonam	Patel	5 Shakspeare St #66	 	St. Johns Ward	Hereford and Worcester	B61 8HD	01225 180983	Poonam.Patel@academic.ac.uk	11000236	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Michael	Pearce	7 Carolina St	 	Bodmin	Cornwall	PL31 1QF	01345 878334	Michael.Pearce@academic.ac.uk	10007063	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Derek	Phipps	52 Trowbridge St	 	Knightsbridge and Belgravia Wa	Greater London	SW1X 9HB	01257 461104	Derek.Phipps@academic.ac.uk	10000712	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Elizabeth	Pickles	25 Village St	 	Elgin City South Ward	Moray	IV30 1SB	01500 649863	Elizabeth.Pickles@academic.ac.uk	11004378	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Paul	Pike	4 Peach St #5112	 	Halstead	Kent	TN14 7EF	01375 820236	Paul.Pike@academic.ac.uk	10007315	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Patricia	Piper	3614 Old Hall St #604	 	Fawley	Hampshire	SO45 2PT	01408 965643	Patricia.Piper@academic.ac.uk	11002387	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Philip	Ramsbottom	3768 Hey Green Rd	 	Hartshill	Warwickshire	CV10 0TH	01746 505364	Philip.Ramsbottom@academic.ac.uk	10007459	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Anne	Redmond	97 Newlands St	 	Kensington and Fairfield Ward	Merseyside	L6 9DU	01544 247601	Anne.Redmond@academic.ac.uk	10007709	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Jamie	Reynolds	6226 Maitland St	 	West Bromwich Central Ward	West Midlands	B70 6DR	01609 235350	Jamie.Reynolds@academic.ac.uk	10000080	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Jeremy	Roberts	891 Crocus St	 	Rowley Ward	West Midlands	B65 8EZ	01951 872658	Jeremy.Roberts@academic.ac.uk	10000536	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Garry	Robertson	1 Segrave St	 	Sutton Trinity Ward	West Midlands	B75 6HJ	01858 162078	Garry.Robertson@academic.ac.uk	10000612	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Alan	Robinson	666 Moor Place	 	Shepway South Ward	Kent	ME15 8ST	01780 380120	Alan.Robinson@academic.ac.uk	10000721	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Edward	Rogers	1554 Christopher St	 	Everton Ward	Merseyside	L6 1BG	01976 784016	Edward.Rogers@academic.ac.uk	10000754	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Emma	Rollinson	55 Margaret Rd	 	Heaton Ward	Yorkshire, West	BD9 4DA	01316 590173	Emma.Rollinson@academic.ac.uk	10000878	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Lynne	Rudd	8830 Antonio St	 	Gillingham North Ward	Kent	ME7 1DZ	01220 653456	Lynne.Rudd@academic.ac.uk	10001165	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Emma	Salcedo	82 Sinclair St	 	Bangor Community	Gwynedd	LL57 1DW	01455 565046	Emma.Salcedo@academic.ac.uk	10007817	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Javed	Sarwar	7568 Atlas St	 	Butterwick	Lincolnshire	PE22 0HY	01255 383731	Javed.Sarwar@academic.ac.uk	10001446	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
Dean	Sealey	93 Clyde Rd #9	 	Deepdale Ward	Lancashire	PR1 6TN	01311 567052	Dean.Sealey@academic.ac.uk	10004772	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Brian	Sharp	18 Nimrod St	 	Walney North Ward	Cumbria	LA14 3SJ	01640 813748	Brian.Sharp@academic.ac.uk	11003648	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
Maureen	Shepherd	6 Cannock St	 	Scarcroft	West Yorkshire	LS14 3BW	01490 898175	Maureen.Shepherd@academic.ac.uk	11002847	Studying	Construction	Design, Surveying and Planning	Civil engineering	2020	May 2020	June 2020	None	None
Roberta	Sherwood	2258 Benedict St	 	Penryn	Cornwall	TR10 8RP	01582 161403	Roberta.Sherwood@academic.ac.uk	10001919	Studying	Construction	Design, Surveying and Planning	Building services design	2020	May 2020	June 2020	None	None
Martin	Slaney	9302 Ismay St #6	 	Tenterden	Kent	TN30 6JP	01506 152661	Martin.Slaney@academic.ac.uk	10007924	Studying	Construction	Design, Surveying and Planning	Hazardous materials analysis and surveying.	2020	May 2020	June 2020	None	None
Andrew	Smith	3347 Lawrence Rd #456	 	Haverstock Ward	Greater London	NW5 4EU	01676 354943	Andrew.Smith@academic.ac.uk	11000813	Studying	Education & Childcare	Education	Early years education and childcare	2020	May 2020	June 2020	None	None
Andrew	Smith	47 Elwy St	 	Kilpatrick Ward	West Dunbart	G81 6RT	01913 454226	Andrew.Smith@academic.ac.uk	10002130	Studying	Education & Childcare	Education	Assisting teaching	2020	May 2020	June 2020	None	None
Christine	Smith	553 Picton Rd	 	Astley Mosley Common Ward	Greater Manchester	M29 7AA	01274 659801	Christine.Smith@academic.ac.uk	10002370	Studying	Education & Childcare	Education	Supporting and mentoring students in further and higher education	2020	May 2020	June 2020	None	None
David	Smith	9986 Cantsfield St	 	St. Peters Ward	Tyne and Wear	SR6 9SD	01904 227024	David.Smith@academic.ac.uk	10007928	Studying	Digital	Digital Production, Design and Development	Digital Production, Design and Development	2020	May 2020	June 2020	None	None
Ian	Smith	1 Sussex St	 	Cyfarthfa Community	Merthyr Tydfil	CF48 1AR	01431 484822	Ian.Smith@academic.ac.uk	10002412	Studying	Construction	Design, Surveying and Planning	Surveying and design for construction and the built environment	2020	May 2020	June 2020	None	None
